20230118170049,0,0
20230118170144,21,42
20230118170146,21,36
20230118170150,21,35
20230118170152,21,34
20230118170202,21,33
20230118170212,21,32
20230118170236,21,31
20230118170430,21,30
20230118170438,21,27
20230118170442,21,30
20230118170444,21,27
20230118170514,21,26
20230118170521,21,27
20230118170537,21,26
20230118170539,21,27
20230118170541,21,26
20230118170545,21,27
20230118170547,21,26
20230118170553,21,27
20230118170555,21,26
20230118170601,21,27
20230118170603,21,26
20230118170650,21,25
20230118170654,21,26
20230118170656,21,25
20230118170658,21,26
20230118170702,21,25
20230118170708,21,26
20230118170710,21,25
20230118170809,21,23
20230118170811,21,25
20230118170813,21,23
20230118170829,21,25
20230118170831,21,23
20230118170857,21,22
20230118170859,21,23
20230118170901,21,22
20230118170903,21,23
20230118170907,21,22
20230118170913,21,23
20230118170915,21,22
20230118170918,21,23
20230118170920,21,22
20230118170922,21,23
20230118170924,21,22
20230118170926,21,23
20230118170928,21,22
20230118171002,21,20
20230118171008,21,22
20230118171010,21,20
20230118171026,21,22
20230118171028,21,20
20230118173120,21,22
20230118173122,21,20
20230118174057,20,21
20230118174059,21,20
20230118174156,20,21
20230118174158,21,20
20230118174200,20,21
20230118174204,21,20
20230118174206,20,21
20230118174208,21,20
20230118174210,20,21
20230118174212,21,20
20230118174218,20,21
20230118174223,21,20
20230118174227,20,21
20230118174231,21,22
20230118174233,21,20
20230118174235,20,21
20230118174237,21,20
20230118174239,20,21
20230118174241,21,20
20230118174249,20,21
20230118174251,21,20
20230118174301,20,21
20230118174303,21,20
20230118174315,20,21
20230118174317,21,20
20230118174319,20,21
20230118174327,21,20
20230118174331,20,21
20230118174333,21,20
20230118174346,21,22
20230118174348,21,20
20230118174400,21,22
20230118174402,21,20
20230118174410,21,22
20230118174412,21,20
20230118174414,21,22
20230118174418,21,20
20230118174424,21,22
20230118174430,21,20
20230118174432,20,23
20230118174434,21,22
20230118174436,21,20
20230118174438,21,22
20230118174446,20,23
20230118174450,20,21
20230118174452,21,22
20230118174454,20,21
20230118174456,21,22
20230118174458,20,21
20230118174500,20,23
20230118174507,21,22
20230118174513,20,23
20230118174515,20,21
20230118174517,21,22
20230118174519,20,23
20230118174525,21,22
20230118174539,20,23
20230118174541,21,22
20230118174549,20,23
20230118174551,21,22
20230118174553,20,23
20230118174559,21,22
20230118174603,20,23
20230118174605,21,22
20230118174607,20,23
20230118174626,20,24
20230118174628,20,23
20230118174710,20,24
20230118174712,20,23
20230118174726,20,24
20230118174728,20,23
20230118174730,20,24
20230118174732,20,23
20230118174745,20,24
20230118174747,20,23
20230118174801,20,24
20230118174809,20,23
20230118174813,20,24
20230118174817,20,23
20230118174819,20,24
20230118174823,20,23
20230118174825,20,24
20230118174908,20,26
20230118174910,20,24
20230118174912,20,26
20230118174936,20,27
20230118174950,20,26
20230118174952,20,27
20230118175000,20,28
20230118175002,20,27
20230118175014,20,28
20230118175016,20,27
20230118175019,20,28
20230118175021,20,27
20230118175023,20,28
20230118175027,20,27
20230118175029,20,28
20230118175031,20,27
20230118175033,20,28
20230118175101,20,27
20230118175103,20,28
20230118175117,20,27
20230118175119,20,28
20230118175125,20,27
20230118175127,20,28
20230118175131,20,27
20230118175152,20,28
20230118175154,20,27
20230118175206,20,28
20230118175208,20,27
20230118175252,20,28
20230118175254,20,27
20230118175309,20,28
